chars,normalized_chars,exact_match,char_stream_bpb,full_payload_bpb,word_overlap_positional,word_overlap_bag,char_seq_ratio,first_diff_idx,roots_count,morph_tokens,root_morph_aligned,char_stream_bytes,full_payload_bytes
10000,9762,False,2.7976,12.6663,0.6422,0.9426,0.9624,55,2169,2169,True,3418,15475
25000,24542,False,2.7844,12.2505,0.2533,0.8963,0.6617,55,5387,5387,True,8546,37600
50000,49551,False,2.7745,11.5644,0.126,0.9361,0.9197,55,10663,10663,True,17189,71646
100000,99636,False,2.7583,11.1828,0.0662,0.9506,0.8281,55,21491,21491,True,34357,139293
